name,price,url,rating
"FIRE-BOLTT Dream Wi-Fi+4G SIM Android OS Wristphone (51.3mm HD Display, In-built GPS, Sky Sizzle Strap)",5264,https://www.croma.com/fire-boltt-dream-wi-fi+4g-sim-android-os-wristphone-51-3mm-hd-display-in-built-gps-sky-sizzle-strap-/p/303702,4.3
"vivo Y28e 5G (4GB RAM, 128GB, Vintage Red)",10999,https://www.croma.com/vivo-y28e-5g-4gb-ram-128gb-vintage-red-/p/307888,3.3
"FIRE-BOLTT Dream GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (51.3mm HD Display, Cortex A7MP CPU, Google Play Store, Aqua Surge Strap)",4804,https://www.croma.com/fire-boltt-dream-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-51-3mm-hd-display-cortex-a7mp-cpu-google-play-store-aqua-surge-strap-/p/303704,3.9
"OnePlus Nord CE4 5G (8GB RAM, 256GB, Chrome)",24999,https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-256gb-chrome-/p/305871,4.5
"Apple iPhone 16 Pro Max (256GB, Black Titanium)",137900,https://www.croma.com/apple-iphone-16-pro-max-256gb-black-titanium-/p/309742,5
"Google Pixel Watch 3 Wi-Fi + Bluetooth Wear OS 5.0 Smartwatch (45mm AMOLED Display, Qualcomm SW5100 Cortex M33 co-Processor, Obsidian Active Band)",43900,https://www.croma.com/google-pixel-watch-3-wi-fi-+-bluetooth-wear-os-5-0-smartwatch-45mm-amoled-display-qualcomm-sw5100-cortex-m33-co-processor-obsidian-active-band-/p/309631,N/A
"SAMSUNG Galaxy F15 5G (6GB RAM, 128GB, Black)",13499,https://www.croma.com/samsung-galaxy-f15-5g-6gb-ram-128gb-black-/p/305370,4.8
"SAMSUNG Galaxy F15 5G (6GB RAM, 128GB, Light Violet)",13499,https://www.croma.com/samsung-galaxy-f15-5g-6gb-ram-128gb-light-violet-/p/305369,4.2
"Nothing Watch Pro 2 Smartwatch with Bluetooth Calling (33.52mm AMOLED Display, IP68 Water Resistant, Blue Strap)",4399,https://www.croma.com/nothing-watch-pro-2-smartwatch-with-bluetooth-calling-33-52mm-amoled-display-ip68-water-resistant-blue-strap-/p/308381,4.6
"Apple iPhone 16 Pro Max (256GB, Desert Titanium)",137900,https://www.croma.com/apple-iphone-16-pro-max-256gb-desert-titanium-/p/309746,5
"OnePlus Nord 4 5G (8GB RAM, 256GB, Obsidian Midnight)",29999,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-obsidian-midnight-/p/308680,5
"noise Canvas Elite Smartwatch with Bluetooth Calling (49.78mm TFT Display, IP67 Water Resistant, Metal Black Strap)",1999,https://www.croma.com/noise-canvas-elite-smartwatch-with-bluetooth-calling-49-78mm-tft-display-ip67-water-resistant-metal-black-strap-/p/310550,N/A
"OnePlus Nord CE4 5G (8GB RAM, 256GB, Marble)",24999,https://www.croma.com/oneplus-nord-ce4-5g-8gb-ram-256gb-marble-/p/305872,3.8
"Apple iPhone 16 Pro (256GB, Black Titanium)",122900,https://www.croma.com/apple-iphone-16-pro-256gb-black-titanium-/p/309729,4.8
"Redmi 13C 5G (6GB RAM, 128GB, Startrail Green)",11299,https://www.croma.com/redmi-13c-5g-6gb-ram-128gb-startrail-green-/p/303163,4.6
"Apple iPhone 16 (256GB, Black)",81490,https://www.croma.com/apple-iphone-16-256gb-black-/p/309696,5
"vivo V40 Pro 5G (8GB RAM, 256GB, Ganges Blue)",49999,https://www.croma.com/vivo-v40-pro-5g-8gb-ram-256gb-ganges-blue-/p/308792,N/A
"SAMSUNG Galaxy A16 5G (8GB RAM, 256GB, Gold)",19999,https://www.croma.com/samsung-galaxy-a16-5g-8gb-ram-256gb-gold-/p/311654,1
"Apple iPhone 16 Pro (128GB, Desert Titanium)",112900,https://www.croma.com/apple-iphone-16-pro-128gb-desert-titanium-/p/309727,4.2
"Redmi 13 5G (6GB RAM, 128GB, Hawaiian Blue)",12499,https://www.croma.com/redmi-13-5g-6gb-ram-128gb-hawaiian-blue-/p/307690,3.9
"Apple iPhone 14 (128GB, Starlight)",51990,https://www.croma.com/apple-iphone-14-128gb-starlight-/p/261931,4.3
"SAMSUNG Galaxy S25 Ultra 5G (12GB RAM, 512GB, Titanium Gray)",141999,https://www.croma.com/samsung-galaxy-s25-ultra-5g-12gb-ram-512gb-titanium-gray-/p/309122,N/A
"SAMSUNG Galaxy F15 5G (6GB RAM, 128GB, Light Green)",13499,https://www.croma.com/samsung-galaxy-f15-5g-6gb-ram-128gb-light-green-/p/305368,5
"Apple iPhone 15 (128GB, Pink)",64900,https://www.croma.com/apple-iphone-15-128gb-pink-/p/300679,3.5
"OnePlus Nord 4 5G (8GB RAM, 256GB, Mercurial Silver)",29999,https://www.croma.com/oneplus-nord-4-5g-8gb-ram-256gb-mercurial-silver-/p/308682,4
"FIRE-BOLTT Gladiator Smartwatch with Bluetooth Calling (49.7mm HD Display, IP67 Water Resistant, Black Strap)",1008,https://www.croma.com/fire-boltt-gladiator-smartwatch-with-bluetooth-calling-49-7mm-hd-display-ip67-water-resistant-black-strap-/p/305785,4.6
"realme 14x 5G (8GB RAM, 128GB, Crystal Black)",15999,https://www.croma.com/realme-14x-5g-8gb-ram-128gb-crystal-black-/p/312424,1
"vivo Y28s 5G (8GB RAM, 128GB, Mocha Brown)",15999,https://www.croma.com/vivo-y28s-5g-8gb-ram-128gb-mocha-brown-/p/307894,N/A
"Apple iPhone 16 Plus (256GB, White)",91490,https://www.croma.com/apple-iphone-16-plus-256gb-white-/p/309713,N/A
"Redmi 13C 5G (6GB RAM, 128GB, Startrail Silver)",11299,https://www.croma.com/redmi-13c-5g-6gb-ram-128gb-startrail-silver-/p/303169,3.3
"SAMSUNG Galaxy S25 Ultra 5G (12GB RAM, 256GB, Titanium Black)",129999,https://www.croma.com/samsung-galaxy-s25-ultra-5g-12gb-ram-256gb-titanium-black-/p/313339,5
"OnePlus 13R 5G (12GB RAM, 256GB, Astral Trail)",42999,https://www.croma.com/oneplus-13r-5g-12gb-ram-256gb-astral-trail-/p/312533,5
"Apple iPhone 16 Pro (128GB, Natural Titanium)",112900,https://www.croma.com/apple-iphone-16-pro-128gb-natural-titanium-/p/309728,5
"FIRE-BOLTT Oracle GPS+Wi-Fi+4G SIM+Bluetooth Android OS Wristphone (50mm Display, ARM CortexTM A53 MP, Play Store Unlimited Apps, Marine Mirage Strap)",4322,https://www.croma.com/fire-boltt-oracle-gps+wi-fi+4g-sim+bluetooth-android-os-wristphone-50mm-display-arm-cortextm-a53-mp-play-store-unlimited-apps-marine-mirage-strap-/p/304958,3.2
"vivo V40 5G (8GB RAM, 128GB, Lotus Purple)",34999,https://www.croma.com/vivo-v40-5g-8gb-ram-128gb-lotus-purple-/p/308786,5
"oppo A3 Pro 5G (8GB RAM, 256GB, Moonlit Purple)",18999,https://www.croma.com/oppo-a3-pro-5g-8gb-ram-256gb-moonlit-purple-/p/307492,3.3
"Croma Stride IR Smartwatch with Bluetooth Calling (1.39 inches, IPS Display, IP68 Water and Dust Resistant, Black Strap)",1999,https://www.croma.com/croma-stride-ir-smartwatch-with-bluetooth-calling-1-39-inches-ips-display-ip68-water-and-dust-resistant-black-strap-/p/305980,3.7
"Redmi 14C 5G (6GB RAM, 128GB, Starlight Blue)",11499,https://www.croma.com/redmi-14c-5g-6gb-ram-128gb-starlight-blue-/p/312591,3
"Apple iPhone 16 (256GB, White)",81490,https://www.croma.com/apple-iphone-16-256gb-white-/p/309698,1
"SAMSUNG Galaxy S25 Ultra 5G (12GB RAM, 512GB, Titanium Black)",141999,https://www.croma.com/samsung-galaxy-s25-ultra-5g-12gb-ram-512gb-titanium-black-/p/313347,N/A
"Apple iPhone 15 Plus (256GB, Black)",81490,https://www.croma.com/apple-iphone-15-plus-256gb-black-/p/300777,4.8
"boAt Wave Electra Smartwatch with Bluetooth Calling (46mm HD Curved Display, IP68 Water Resistant, Charcoal Black Strap)",1339,https://www.croma.com/boat-wave-electra-smartwatch-with-bluetooth-calling-46mm-hd-curved-display-ip68-water-resistant-charcoal-black-strap-/p/273029,2.5
"noise ColorFit Ultra 3 Smartwatch with Bluetooth Calling (49mm AMOLED Display, IP68 Water Resistant, Jet Black Strap)",2299,https://www.croma.com/noise-colorfit-ultra-3-smartwatch-with-bluetooth-calling-49mm-amoled-display-ip68-water-resistant-jet-black-strap-/p/272409,4.7
"Apple Watch SE GPS with Lake Green Sport Loop (40mm Retina LTPO OLED Display, Starlight Aluminium Case)",24190,https://www.croma.com/apple-watch-se-gps-with-lake-green-sport-loop-40mm-retina-ltpo-oled-display-starlight-aluminium-case-/p/309345,N/A
"vivo V50 5G (8GB RAM, 256GB, Rose Red)",36999,https://www.croma.com/vivo-v50-5g-8gb-ram-256gb-rose-red-/p/313862,3.3
"Google Pixel 9 Pro XL 5G (16GB RAM, 512GB, Obsidian)",129999,https://www.croma.com/google-pixel-9-pro-xl-5g-16gb-ram-512gb-obsidian-/p/309160,N/A
"Redmi 14C 5G (4GB RAM, 64GB, Stargaze Black)",9499,https://www.croma.com/redmi-14c-5g-4gb-ram-64gb-stargaze-black-/p/313622,5
"Apple iPhone 16 Pro (128GB, Black Titanium)",112900,https://www.croma.com/apple-iphone-16-pro-128gb-black-titanium-/p/309725,5
"vivo V40e 5G (8GB RAM, 256 ROM, Royal Bronze)",27999,https://www.croma.com/vivo-v40e-5g-8gb-ram-256-rom-royal-bronze-/p/311013,5
"Apple iPhone 16 (128GB, Pink)",71290,https://www.croma.com/apple-iphone-16-128gb-pink-/p/309693,3
"Apple Watch Series 10 GPS with Sport Band - S/M (46mm Retina LTPO3 OLED Display, Jet Black Aluminium Case)",48400,https://www.croma.com/apple-watch-series-10-gps-with-sport-band-s-m-46mm-retina-ltpo3-oled-display-jet-black-aluminium-case-/p/309464,N/A
"Apple iPhone 16 Pro (256GB, Natural Titanium)",122900,https://www.croma.com/apple-iphone-16-pro-256gb-natural-titanium-/p/309732,N/A
"FIRE-BOLTT Gladiator Ocean Smartwatch with Bluetooth Calling (49.7mm Display, IP67 Water Resistant, Light Gold Strap)",1080,https://www.croma.com/fire-boltt-gladiator-ocean-smartwatch-with-bluetooth-calling-49-7mm-display-ip67-water-resistant-light-gold-strap-/p/305799,4.5
